STATUS | wrapper  | 2012/11/14 20:51:23 | Peds Windows Process installed.
STATUS | wrapper  | 2012/11/14 20:51:23 | Starting the Peds Windows Process service...
STATUS | wrapper  | 2012/11/14 20:51:23 | --> Wrapper Started as Service
STATUS | wrapper  | 2012/11/14 20:51:23 | Java Service Wrapper Community Edition 3.3.1
STATUS | wrapper  | 2012/11/14 20:51:23 |   Copyright (C) 1999-2008 Tanuki Software, Inc.  All Rights Reserved.
STATUS | wrapper  | 2012/11/14 20:51:23 |     http://wrapper.tanukisoftware.org
STATUS | wrapper  | 2012/11/14 20:51:23 | 
STATUS | wrapper  | 2012/11/14 20:51:23 | Launching a JVM...
INFO   | jvm 1    | 2012/11/14 20:51:25 | WrapperManager: Initializing...
INFO   | jvm 1    | 2012/11/14 20:51:25 | WrapperManager: 
INFO   | jvm 1    | 2012/11/14 20:51:25 | WrapperManager: WARNING - Unable to load the Wrapper's native library because none of the
INFO   | jvm 1    | 2012/11/14 20:51:25 | WrapperManager:           following files:
INFO   | jvm 1    | 2012/11/14 20:51:25 | WrapperManager:             wrapper-windows-x86-32.dll
INFO   | jvm 1    | 2012/11/14 20:51:25 | WrapperManager:             wrapper.dll
INFO   | jvm 1    | 2012/11/14 20:51:25 | WrapperManager:           could be located on the following java.library.path:
INFO   | jvm 1    | 2012/11/14 20:51:25 | WrapperManager:             D:\MyEclipseWorkSpace\pedsSpring\peds\bin\..\WEB-INF\lib
INFO   | jvm 1    | 2012/11/14 20:51:25 | WrapperManager:           Please see the documentation for the wrapper.java.library.path
INFO   | jvm 1    | 2012/11/14 20:51:25 | WrapperManager:           configuration property.
INFO   | jvm 1    | 2012/11/14 20:51:25 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 1    | 2012/11/14 20:51:25 | WrapperManager: 
INFO   | jvm 1    | 2012/11/14 20:51:25 | 2012-11-14 20:51:25.941::INFO:  Logging to STDERR via org.mortbay.log.StdErrLog
INFO   | jvm 1    | 2012/11/14 20:51:26 | 2012-11-14 20:51:26 com.cn.v2.common.JettyHander startJetty
INFO   | jvm 1    | 2012/11/14 20:51:26 | 信息: resourceBase=file:/D:/MyEclipseWorkSpace/pedsSpring/peds/
INFO   | jvm 1    | 2012/11/14 20:51:26 | 2012-11-14 20:51:26 com.cn.v2.common.JettyHander startJetty
INFO   | jvm 1    | 2012/11/14 20:51:26 | 信息: tempDir=D:\MyEclipseWorkSpace\pedsSpring\peds\work
INFO   | jvm 1    | 2012/11/14 20:51:26 | 2012-11-14 20:51:26.090::INFO:  jetty-6.1.14
INFO   | jvm 1    | 2012/11/14 20:51:27 | 2012-11-14 20:51:27.071:/peds:INFO:  Initializing Spring root WebApplicationContext
INFO   | jvm 1    | 2012/11/14 20:51:27 | 2012-11-14 20:51:27 org.springframework.web.context.ContextLoader initWebApplicationContext
INFO   | jvm 1    | 2012/11/14 20:51:27 | 信息: Root WebApplicationContext: initialization started
INFO   | jvm 1    | 2012/11/14 20:51:27 | 2012-11-14 20:51:27 org.springframework.context.support.AbstractApplicationContext prepareRefresh
